,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,JTD3000SNSS,"$2,999.00","$2,221.00",,,,,,,,,Something went wrong,,,No Record Found,No product found by this model number
,FALSE,GE,JTD3000SN3SS,"$2,693.00",,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JTD3000DNBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JP350CCCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JKD915WFWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGSS66EELES,"$1,599.00","$1,599.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGSS61SPSS,"$1,599.00","$1,449.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGP5530SLSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBS66DEKBB,$849.00,$777.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBS23CEHCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBS23BELBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBP85AEBAA,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBP27WELWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBP27DEMWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGBP26WEHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGB650SEFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JGB650EEFES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JES1145DPBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JDP39DNCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JBP70DMBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JBP69BHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JBP68SKSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JBP66BHWH,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JBP24BBCT,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB870TFWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB870DRWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB860FJDS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB860BJTS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB850SPSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB850EFES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB850DTBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB850DFBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB840DPBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB750EJES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB750DJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB750DFCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB750BJTS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB745EFES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB740SPSS,,,,,,,,,,,Something went wrong,,,,
